P,MLS team,Player,Pos.,College,Conference,Club team,Signed
68,Seattle Sounders FC,United States Aleks Berkolds,DF,San Diego State,Pac-12,Seattle Sounders FC U-23,United States Tacoma Defiance (II Division)
69,Sporting Kansas City,United States Franky Martinez,DF,UMass Lowell,America East,Lehigh Valley United,United States Seacoast United Phantoms (IV Division)
70,New York Red Bulls,Ghana Rashid Nuhu,GK,Fordham,Atlantic 10,New York Red Bulls U-23,United States New York Red Bulls II (II Division)
71,Portland Timbers,United States Francesco Moore,DF,Indiana,Big Ten,Chicago FC United,
72,D.C. United [R3 trade 6],Japan Shinya Kadono,MF,California,Pac-12,San Francisco Glens,United States Loudoun United (II Division)
Round 4,,,,,,,
P,MLS team,Player,Pos.,College,Conference,Club team,Signed
73,Los Angeles FC[R4 trade 1],Mexico Kevin Mendoza,MF,Liberty,Atlantic Sun,OKC Energy U23,Mexico Veracruz
74,San Jose Earthquakes,PASS,N/A,N/A,N/A,N/A,N/A
75,Minnesota United FC[R4 trade 2],United States Kevin Rodriguez,FW,Northern Illinois,MAC,Brazos Valley Cavalry,United States RGVFC Toros (II Division)
76,Colorado Rapids,United States Robbie Mertz,MF,Michigan,Big Ten,Burlingame Dragons,United States Pittsburgh Riverhounds (II Division)
77,Chicago Fire,England Mark Forrest,FW,Lehigh,Patriot,Reading United,United States Pittsburgh Riverhounds (II Division)
78,New York Red Bulls[R4 trade 3],United States Sean McSherry,MF,Princeton,Ivy,N/A,United States New York Red Bulls II (II Division)
79,Atlanta United FC[R4 trade 4],PASS,N/A,N/A,N/A,N/A,N/A
80,Real Salt Lake [R4 trade 5],PASS,N/A,N/A,N/A,N/A,N/A
81,New England Revolution,PASS,N/A,N/A,N/A,N/A,N/A
82,Montreal Impact,PASS,N/A,N/A,N/A,N/A,N/A
83,Vancouver Whitecaps FC,PASS,N/A,N/A,N/A,N/A,N/A
84,New York Red Bulls [R4 trade 6],United States Joey Piatczyc,MF,West Virginia,MAC,N/A,Retired[35]
85,FC Cincinnati [R4 trade 7],PASS,N/A,N/A,N/A,N/A,N/A
86,LA Galaxy [R4 trade 8],PASS,N/A,N/A,N/A,N/A,N/A
87,FC Dallas,United States Sam Ebstein,FW,California,Pac-12,San Francisco Glens,
88,FC Dallas [R4 trade 9],United States Dylan Castanheira,GK,Columbia,Ivy,Long Island Rough Riders,United States Atlanta United 2 (II Division)
89,Real Salt Lake,PASS,N/A,N/A,N/A,N/A,N/A
90,Columbus Crew SC,Brazil Rafa Mentzingen,MF,Valparaiso,MVC,Detroit City FC,United States Lansing Ignite (III Division)
91,Columbus Crew SC [R4 trade 10],PASS,N/A,N/A,N/A,N/A,N/A
92,Montreal Impact [R4 trade 11],PASS,N/A,N/A,N/A,N/A,N/A
93,Sporting Kansas City,PASS,N/A,N/A,N/A,N/A,N/A
94,Minnesota United FC[R4 trade 12],Australia Mitchell Osmond,DF,UTRGV,WAC,Thunder Bay Chill,United States Indy Eleven (II Division)
95,Portland Timbers,Venezuela David Zalzman,MF,Memphis,American,Memphis City FC,Venezuela Deportivo Táchira
96,Orlando City SC[R4 trade 13],PASS,N/A,N/A,N/A,N/A,N/A
